route_name,route_id,isUporDown
7路,7,上行
7路,7,下行
238路,238,上行
238路,238,下行
2107路,2107,上行
2107路,2107,下行
227路,227,上行
227路,227,下行
166路,166,上行
166路,166,下行
170路,170,上行
170路,170,下行
522路,522,上行
522路,522,下行
2131路,2131,上行
2131路,2131,下行
131路,131,上行
131路,131,下行
107路,107,上行
107路,107,下行
4142路,142,上行
4142路,142,下行
132路,132,上行
132路,132,下行
137路,137,上行
137路,137,下行
12路,12,上行
12路,12,下行
876路,876,上行
876路,876,下行
146路,146,上行
146路,146,下行
508路,508,上行
508路,508,下行
221路,221,上行
221路,221,下行
102路,102,上行
102路,102,下行
820路,820,上行
820路,820,下行
121路,121,上行
121路,121,下行
159路,159,上行
159路,159,下行
727路,727,上行
727路,727,下行
206路,206,上行
206路,206,下行
259路,259,上行
259路,259,下行
152路,152,上行
152路,152,下行
224路,224,上行
224路,224,下行
169路,169,上行
169路,169,下行
117路,117,上行
117路,117,下行
226路,226,上行
226路,226,下行
510路,510,上行
510路,510,下行
35路,35,上行
35路,35,下行
229路,229,上行
229路,229,下行
105路,105,上行
105路,105,下行
300路,300,上行
300路,300,下行
5路,5,上行
5路,5,下行
27路,27,上行
27路,27,下行
101路,101,上行
101路,101,下行
119路,119,上行
119路,119,下行
483路,483,上行
483路,483,下行
32路,32,上行
32路,32,下行
216路,216,上行
216路,216,下行
13路,13,上行
13路,13,下行
202路,202,上行
202路,202,下行
2853路,2853,上行
2853路,2853,下行
241路,241,上行
241路,241,下行
253路,253,上行
253路,253,下行
210路快线,K210,上行
210路快线,K210,下行
136路,136,上行
136路,136,下行
517路,517,上行
517路,517,下行
210路,210,上行
210路,210,下行
824路,824,上行
824路,824,下行
831路,831,上行
831路,831,下行
824路短班,1824,上行
824路短班,1824,下行
162路,162,上行
162路,162,下行
180路,180,上行
180路,180,下行
207路,207,上行
207路,207,下行
231外线,231,上行
231外线,231,下行
205路,205,上行
205路,205,下行
高铁8线,618,上行
高铁8线,618,下行
BRT1,B1,上行
BRT1,B1,下行
8路,8,上行
8路,8,下行
31路,31,上行
31路,31,下行
BRT2,B2,上行
BRT2,B2,下行
515路,515,上行
515路,515,下行
212路,212,上行
212路,212,下行
209路,209,上行
209路,209,下行
801路,801,上行
801路,801,下行
802路,802,上行
802路,802,下行
237路,237,上行
237路,237,下行
6路,6,上行
6路,6,下行
1237路,1237,上行
1237路,1237,下行
518路长班,2518,上行
518路长班,2518,下行
569路,569,上行
569路,569,下行
518路短班,1518,上行
518路短班,1518,下行
871路,871,上行
871路,871,下行
803路,803,上行
803路,803,下行
516路,516,上行
516路,516,下行
859路,859,上行
859路,859,下行
9路,9,上行
9路,9,下行
708路,708,上行
708路,708,下行
838路,838,上行
838路,838,下行
255路,255,上行
255路,255,下行
256路,256,上行
256路,256,下行
高铁9线,619,上行
高铁9线,619,下行
高铁1线,611,上行
高铁1线,611,下行
870路,870,上行
870路,870,下行
858路,858,上行
858路,858,下行
50路,50,上行
50路,50,下行
高铁4线,614,上行
高铁4线,614,下行
867路,867,上行
867路,867,下行
莲塘至南昌西站定制线,616,上行
莲塘至南昌西站定制线,616,下行
530路短班,1530,上行
530路短班,1530,下行
850路,850,上行
850路,850,下行
863路,863,上行
863路,863,下行
528路,528,上行
528路,528,下行
529路,529,上行
529路,529,下行
567路,567,上行
567路,567,下行
28路,28,上行
28路,28,下行
817路,817,上行
817路,817,下行
707路,707,上行
707路,707,下行
235路,235,上行
235路,235,下行
151路,151,上行
151路,151,下行
105短班,105Q,上行
105短班,105Q,下行
11路,11,上行
11路,11,下行
115路,115,上行
115路,115,下行
245路,245,上行
245路,245,下行
108路,108,上行
108路,108,下行
506路,506,上行
506路,506,下行
10路,10,上行
10路,10,下行
220路,220,上行
220路,220,下行
18路外线,18,上行
18路外线,18,下行
18路内线,18Q,上行
18路内线,18Q,下行
25路,25,上行
25路,25,下行
536路,536,上行
536路,536,下行
156路,156,上行
156路,156,下行
577路,577,上行
577路,577,下行
129路快线,722,上行
129路快线,722,下行
178路快线,723,上行
178路快线,723,下行
126路,126,上行
126路,126,下行
110路,110,上行
110路,110,下行
542路,542,上行
542路,542,下行
543路,543,上行
543路,543,下行
163路,163,上行
163路,163,下行
129路,129,上行
129路,129,下行
110路快线,721,上行
110路快线,721,下行
22路,22,上行
22路,22,下行
21路,21,上行
21路,21,下行
230路,230,上行
230路,230,下行
553路,553,上行
553路,553,下行
555路,555,上行
