sectionId,carId,path,start_date_time,end_date_time
211Q_down0,508777,"[[115.91773333333332, 28.80495, '2021-09-08 17:17:30'], [115.91783333333332, 28.80518333333333, '2021-09-08 17:17:45'], [115.91788333333334, 28.805433333333333, '2021-09-08 17:18:00'], [115.9176, 28.80503333333333, '2021-09-08 17:18:15'], [115.9176, 28.80503333333333, '2021-09-08 17:18:30'], [115.9176, 28.80503333333333, '2021-09-08 17:18:45'], [115.9176, 28.80503333333333, '2021-09-08 17:19:00']]",2021-09-08 17:17:30,2021-09-08 17:19:00
211Q_down1,508777,"[[115.91745, 28.804166666666667, '2021-09-08 17:19:30'], [115.91728333333332, 28.803366666666665, '2021-09-08 17:19:45'], [115.917, 28.80216666666667, '2021-09-08 17:20:00'], [115.91671666666667, 28.80098333333333, '2021-09-08 17:20:15'], [115.9165, 28.799866666666667, '2021-09-08 17:20:30'], [115.91631666666666, 28.79865, '2021-09-08 17:20:45'], [115.91628333333334, 28.797466666666665, '2021-09-08 17:21:00'], [115.91618333333334, 28.79618333333333, '2021-09-08 17:21:15'], [115.91538333333334, 28.7956, '2021-09-08 17:21:30'], [115.91363333333334, 28.795483333333333, '2021-09-08 17:21:45'], [115.91178333333332, 28.7953, '2021-09-08 17:22:00'], [115.91001666666666, 28.79518333333333, '2021-09-08 17:22:15'], [115.90818333333333, 28.79513333333333, '2021-09-08 17:22:30'], [115.90631666666668, 28.7951, '2021-09-08 17:22:45'], [115.90451666666668, 28.79505, '2021-09-08 17:23:00'], [115.9029, 28.795016666666665, '2021-09-08 17:23:15'], [115.90113333333332, 28.79498333333333, '2021-09-08 17:23:30'], [115.89976666666666, 28.79498333333333, '2021-09-08 17:23:45'], [115.89943333333332, 28.794966666666667, '2021-09-08 17:24:00'], [115.89851666666668, 28.79495, '2021-09-08 17:24:15'], [115.89851666666668, 28.79495, '2021-09-08 17:24:30'], [115.89851666666668, 28.79495, '2021-09-08 17:24:45'], [115.89851666666668, 28.79495, '2021-09-08 17:25:00'], [115.89851666666668, 28.79495, '2021-09-08 17:25:15'], [115.8973, 28.794916666666666, '2021-09-08 17:25:30'], [115.89608333333334, 28.79488333333333, '2021-09-08 17:25:45'], [115.8947, 28.79488333333333, '2021-09-08 17:26:00'], [115.8935, 28.79478333333333, '2021-09-08 17:26:15'], [115.89331666666666, 28.792783333333333, '2021-09-08 17:26:30'], [115.89335, 28.792583333333333, '2021-09-08 17:26:45']]",2021-09-08 17:19:30,2021-09-08 17:26:45
211Q_down2,508777,"[[115.89333333333332, 28.790416666666665, '2021-09-08 17:27:15'], [115.8933, 28.789383333333333, '2021-09-08 17:27:30'], [115.89331666666666, 28.789366666666663, '2021-09-08 17:27:45'], [115.89331666666666, 28.789366666666663, '2021-09-08 17:28:00'], [115.89331666666666, 28.78795, '2021-09-08 17:28:15'], [115.8933, 28.786916666666663, '2021-09-08 17:28:30'], [115.8928, 28.786416666666668, '2021-09-08 17:28:45'], [115.89053333333334, 28.786416666666668, '2021-09-08 17:29:00'], [115.88908333333332, 28.786416666666668, '2021-09-08 17:29:15'], [115.8879, 28.786416666666668, '2021-09-08 17:29:30'], [115.88658333333332, 28.786416666666668, '2021-09-08 17:29:45'], [115.88525, 28.78643333333333, '2021-09-08 17:30:00'], [115.8846, 28.786416666666668, '2021-09-08 17:30:15']]",2021-09-08 17:27:15,2021-09-08 17:30:15
211Q_down3,508777,"[[115.88296666666666, 28.7864, '2021-09-08 17:30:45'], [115.8823, 28.786166666666663, '2021-09-08 17:31:00'], [115.88226666666668, 28.785083333333333, '2021-09-08 17:31:15'], [115.88226666666668, 28.78448333333333, '2021-09-08 17:31:30']]",2021-09-08 17:30:45,2021-09-08 17:31:30
211Q_down4,508777,"[[115.88223333333332, 28.78343333333333, '2021-09-08 17:32:00'], [115.88223333333332, 28.782666666666668, '2021-09-08 17:32:15'], [115.88223333333332, 28.781966666666666, '2021-09-08 17:32:30'], [115.88225, 28.7809, '2021-09-08 17:32:45'], [115.88223333333332, 28.77845, '2021-09-08 17:33:00']]",2021-09-08 17:32:00,2021-09-08 17:33:00
211Q_down0,508777,"[[115.91771666666666, 28.80493333333333, '2021-09-13 16:17:45'], [115.91785, 28.805433333333333, '2021-09-13 16:18:15']]",2021-09-13 16:17:45,2021-09-13 16:18:15
211Q_down1,508777,"[[115.91698333333332, 28.80218333333333, '2021-09-13 16:19:15'], [115.91646666666666, 28.79975, '2021-09-13 16:19:45'], [115.91615, 28.79598333333333, '2021-09-13 16:20:30'], [115.91153333333334, 28.795266666666667, '2021-09-13 16:21:15'], [115.90776666666666, 28.795116666666665, '2021-09-13 16:21:45'], [115.90413333333332, 28.795033333333333, '2021-09-13 16:22:15'], [115.90055, 28.79495, '2021-09-13 16:22:45'], [115.89901666666668, 28.794933333333333, '2021-09-13 16:23:15'], [115.89646666666668, 28.794866666666667, '2021-09-13 16:23:45'], [115.89378333333332, 28.794866666666667, '2021-09-13 16:24:30'], [115.89331666666666, 28.794083333333333, '2021-09-13 16:25:00'], [115.89333333333332, 28.792283333333334, '2021-09-13 16:25:45']]",2021-09-13 16:19:15,2021-09-13 16:25:45
211Q_down2,508777,"[[115.8933, 28.788833333333333, '2021-09-13 16:26:45'], [115.89325, 28.786666666666665, '2021-09-13 16:27:15'], [115.89048333333334, 28.786383333333333, '2021-09-13 16:27:45'], [115.8868, 28.7864, '2021-09-13 16:28:30'], [115.88461666666667, 28.7864, '2021-09-13 16:29:00']]",2021-09-13 16:26:45,2021-09-13 16:29:00
211Q_down3,508777,"[[115.88225, 28.784516666666665, '2021-09-13 16:30:00']]",2021-09-13 16:30:00,2021-09-13 16:30:00
211Q_down4,508777,"[[115.88221666666666, 28.780966666666668, '2021-09-13 16:31:00'], [115.88221666666666, 28.7796, '2021-09-13 16:31:15']]",2021-09-13 16:31:00,2021-09-13 16:31:15
