sectionId,carId,path,start_date_time,end_date_time
501Q_up0,502659,"[[115.8081, 28.685, '2021-09-14 08:58:30'], [115.8081, 28.685, '2021-09-14 08:58:45'], [115.8081, 28.685, '2021-09-14 08:59:00'], [115.80811666666666, 28.685016666666662, '2021-09-14 08:59:45'], [115.80813333333332, 28.685016666666662, '2021-09-14 09:00:00'], [115.80813333333332, 28.685016666666662, '2021-09-14 09:00:15'], [115.80813333333332, 28.685016666666662, '2021-09-14 09:00:30'], [115.80813333333332, 28.685033333333333, '2021-09-14 09:01:00'], [115.80813333333332, 28.685033333333333, '2021-09-14 09:01:15'], [115.80813333333332, 28.685016666666662, '2021-09-14 09:01:30'], [115.80813333333332, 28.685, '2021-09-14 09:02:00'], [115.80813333333332, 28.685016666666662, '2021-09-14 09:03:00'], [115.80813333333332, 28.685, '2021-09-14 09:03:30'], [115.80811666666666, 28.685, '2021-09-14 09:04:00'], [115.80811666666666, 28.685, '2021-09-14 09:04:15'], [115.80813333333332, 28.685016666666662, '2021-09-14 09:04:30'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:05:30'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:05:45'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:06:00'], [115.80813333333332, 28.685033333333333, '2021-09-14 09:07:30'], [115.80813333333332, 28.685016666666662, '2021-09-14 09:08:00'], [115.80813333333332, 28.685016666666662, '2021-09-14 09:08:30'], [115.80813333333332, 28.685016666666662, '2021-09-14 09:08:45'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:09:00'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:09:15'], [115.80813333333332, 28.685016666666662, '2021-09-14 09:09:45'], [115.80811666666666, 28.685033333333333, '2021-09-14 09:10:00'], [115.80811666666666, 28.685033333333333, '2021-09-14 09:10:15'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:10:30'], [115.80811666666666, 28.685033333333333, '2021-09-14 09:10:45'], [115.80811666666666, 28.685033333333333, '2021-09-14 09:11:15'], [115.8081, 28.685033333333333, '2021-09-14 09:11:30'], [115.8081, 28.685033333333333, '2021-09-14 09:11:45'], [115.8081, 28.685033333333333, '2021-09-14 09:12:00'], [115.8081, 28.685033333333333, '2021-09-14 09:12:15'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:12:30'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:12:45'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:13:15'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:13:45'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:14:00'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:14:15'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:14:30'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:15:00'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:15:15'], [115.80811666666666, 28.685033333333333, '2021-09-14 09:15:30'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:15:45'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:16:00'], [115.80811666666666, 28.685033333333333, '2021-09-14 09:16:45'], [115.80811666666666, 28.685033333333333, '2021-09-14 09:17:15'], [115.80811666666666, 28.685033333333333, '2021-09-14 09:17:30'], [115.8081, 28.685033333333333, '2021-09-14 09:17:45'], [115.8081, 28.685016666666662, '2021-09-14 09:18:15'], [115.8081, 28.685016666666662, '2021-09-14 09:18:30'], [115.8081, 28.685016666666662, '2021-09-14 09:18:45'], [115.8081, 28.685016666666662, '2021-09-14 09:19:15'], [115.8081, 28.685016666666662, '2021-09-14 09:19:30'], [115.8081, 28.685, '2021-09-14 09:20:00'], [115.8081, 28.685, '2021-09-14 09:20:15'], [115.8081, 28.685, '2021-09-14 09:20:30'], [115.80808333333331, 28.685016666666662, '2021-09-14 09:20:45'], [115.80808333333331, 28.685016666666662, '2021-09-14 09:21:00'], [115.80808333333331, 28.685016666666662, '2021-09-14 09:21:15'], [115.80808333333331, 28.685016666666662, '2021-09-14 09:21:30'], [115.80808333333331, 28.685016666666662, '2021-09-14 09:21:45'], [115.80808333333331, 28.685016666666662, '2021-09-14 09:22:00'], [115.80808333333331, 28.685, '2021-09-14 09:22:30'], [115.80808333333331, 28.685, '2021-09-14 09:22:45'], [115.80808333333331, 28.685, '2021-09-14 09:23:00'], [115.80808333333331, 28.685, '2021-09-14 09:23:30'], [115.80808333333331, 28.685, '2021-09-14 09:23:45'], [115.80808333333331, 28.685, '2021-09-14 09:24:15'], [115.80808333333331, 28.685, '2021-09-14 09:24:45'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:25:00'], [115.80811666666666, 28.685016666666662, '2021-09-14 09:25:15'], [115.8081, 28.685016666666662, '2021-09-14 09:25:30'], [115.80805, 28.685033333333333, '2021-09-14 09:26:00'], [115.80786666666668, 28.684933333333333, '2021-09-14 09:26:15'], [115.80793333333334, 28.684816666666663, '2021-09-14 09:26:45'], [115.80793333333334, 28.684816666666663, '2021-09-14 09:27:15'], [115.80793333333334, 28.684816666666663, '2021-09-14 09:27:30'], [115.80793333333334, 28.684816666666663, '2021-09-14 09:27:45'], [115.80793333333334, 28.684816666666663, '2021-09-14 09:28:00'], [115.80793333333334, 28.684816666666663, '2021-09-14 09:28:15'], [115.80793333333334, 28.684816666666663, '2021-09-14 09:28:30'], [115.80793333333334, 28.684816666666663, '2021-09-14 09:28:45'], [115.80793333333334, 28.684816666666663, '2021-09-14 09:29:00'], [115.80791666666669, 28.68485, '2021-09-14 09:29:15'], [115.80791666666669, 28.68485, '2021-09-14 09:29:30'], [115.80781666666668, 28.684966666666668, '2021-09-14 09:30:00'], [115.80803333333331, 28.684183333333333, '2021-09-14 09:30:15']]",2021-09-14 08:58:30,2021-09-14 09:30:15
501Q_up1,502659,"[[115.80728333333332, 28.682766666666662, '2021-09-14 09:31:00'], [115.80568333333332, 28.68158333333333, '2021-09-14 09:31:30'], [115.80381666666666, 28.68018333333333, '2021-09-14 09:32:00'], [115.80315, 28.6797, '2021-09-14 09:32:15']]",2021-09-14 09:31:00,2021-09-14 09:32:15
501Q_up2,502659,"[[115.8021, 28.67888333333333, '2021-09-14 09:32:45'], [115.8021, 28.67888333333333, '2021-09-14 09:33:00'], [115.80208333333331, 28.67888333333333, '2021-09-14 09:33:30'], [115.79846666666668, 28.67618333333333, '2021-09-14 09:34:30'], [115.79605, 28.6744, '2021-09-14 09:35:00']]",2021-09-14 09:32:45,2021-09-14 09:35:00
501Q_up4,502659,"[[115.79015, 28.66835, '2021-09-14 09:37:30'], [115.79015, 28.66835, '2021-09-14 09:37:45'], [115.79013333333332, 28.668316666666662, '2021-09-14 09:38:15']]",2021-09-14 09:37:30,2021-09-14 09:38:15
501Q_up7,502659,"[[115.76066666666668, 28.64528333333333, '2021-09-14 09:46:00'], [115.7473, 28.64023333333333, '2021-09-14 09:48:15']]",2021-09-14 09:46:00,2021-09-14 09:48:15
501Q_up8,502659,"[[115.74313333333332, 28.63906666666667, '2021-09-14 09:49:00'], [115.74268333333332, 28.63895, '2021-09-14 09:49:15']]",2021-09-14 09:49:00,2021-09-14 09:49:15
501Q_up9,502659,"[[115.74243333333334, 28.63885, '2021-09-14 09:49:45'], [115.74243333333334, 28.63885, '2021-09-14 09:50:15'], [115.74243333333334, 28.63885, '2021-09-14 09:50:30'], [115.7423, 28.6388, '2021-09-14 09:50:45'], [115.74103333333332, 28.638466666666663, '2021-09-14 09:51:00'], [115.7396, 28.638016666666665, '2021-09-14 09:51:15'], [115.73806666666668, 28.6376, '2021-09-14 09:51:30'], [115.738, 28.637566666666668, '2021-09-14 09:51:45'], [115.738, 28.637566666666668, '2021-09-14 09:52:00'], [115.73795, 28.63755, '2021-09-14 09:52:15'], [115.73796666666668, 28.63693333333333, '2021-09-14 09:52:30'], [115.73883333333332, 28.63593333333333, '2021-09-14 09:52:45'], [115.73913333333331, 28.6355, '2021-09-14 09:53:00']]",2021-09-14 09:49:45,2021-09-14 09:53:00
501Q_up10,502659,"[[115.73913333333331, 28.635483333333333, '2021-09-14 09:53:30'], [115.73915, 28.635466666666662, '2021-09-14 09:53:45'], [115.73951666666666, 28.63513333333333, '2021-09-14 09:54:00'], [115.73956666666666, 28.63508333333333, '2021-09-14 09:54:15'], [115.73998333333331, 28.6346, '2021-09-14 09:54:30'], [115.74093333333332, 28.633516666666665, '2021-09-14 09:54:45'], [115.74188333333332, 28.63233333333333, '2021-09-14 09:55:00']]",2021-09-14 09:53:30,2021-09-14 09:55:00
501Q_up11,502659,"[[115.74481666666668, 28.625083333333333, '2021-09-14 09:56:30'], [115.74495, 28.6235, '2021-09-14 09:56:45'], [115.74498333333334, 28.621816666666668, '2021-09-14 09:57:00'], [115.74496666666668, 28.62, '2021-09-14 09:57:15'], [115.74491666666668, 28.618466666666663, '2021-09-14 09:57:30'], [115.74491666666668, 28.61775, '2021-09-14 09:57:45'], [115.74491666666668, 28.61755, '2021-09-14 09:58:00'], [115.74491666666668, 28.616766666666667, '2021-09-14 09:58:15'], [115.74491666666668, 28.61563333333333, '2021-09-14 09:58:30'], [115.74495, 28.613966666666663, '2021-09-14 09:58:45'], [115.74495, 28.613966666666663, '2021-09-14 09:59:00'], [115.7449, 28.61085, '2021-09-14 09:59:15'], [115.7449, 28.61085, '2021-09-14 09:59:30'], [115.74628333333334, 28.609766666666665, '2021-09-14 09:59:45'], [115.74628333333334, 28.609766666666665, '2021-09-14 10:00:00'], [115.7483, 28.609766666666665, '2021-09-14 10:00:15'], [115.7502, 28.609766666666665, '2021-09-14 10:00:30'], [115.75356666666669, 28.609766666666665, '2021-09-14 10:00:45'], [115.75506666666666, 28.609766666666665, '2021-09-14 10:01:00'], [115.75685, 28.60975, '2021-09-14 10:01:15'], [115.75856666666668, 28.60975, '2021-09-14 10:01:30'], [115.75975, 28.60945, '2021-09-14 10:01:45'], [115.75975, 28.60945, '2021-09-14 10:02:00'], [115.75981666666668, 28.60795, '2021-09-14 10:02:15'], [115.75981666666668, 28.606416666666668, '2021-09-14 10:02:30'], [115.75978333333332, 28.604783333333334, '2021-09-14 10:02:45'], [115.75885, 28.6035, '2021-09-14 10:03:00'], [115.75885, 28.6035, '2021-09-14 10:03:15'], [115.757, 28.6035, '2021-09-14 10:03:30'], [115.75526666666669, 28.6035, '2021-09-14 10:03:45'], [115.75526666666669, 28.6035, '2021-09-14 10:04:00'], [115.75526666666669, 28.6035, '2021-09-14 10:04:15'], [115.75526666666669, 28.6035, '2021-09-14 10:04:30'], [115.75526666666669, 28.6035, '2021-09-14 10:04:45'], [115.75526666666669, 28.6035, '2021-09-14 10:05:00'], [115.75526666666669, 28.6035, '2021-09-14 10:05:15'], [115.75681666666668, 28.599083333333333, '2021-09-14 10:05:30'], [115.75681666666668, 28.599083333333333, '2021-09-14 10:05:45'], [115.75718333333332, 28.598766666666663, '2021-09-14 10:06:00'], [115.7591, 28.59713333333333, '2021-09-14 10:06:15']]",2021-09-14 09:56:30,2021-09-14 10:06:15
501Q_up0,502675,"[[115.8078, 28.685133333333333, '2021-09-10 06:03:15'], [115.8078, 28.685133333333333, '2021-09-10 06:03:30'], [115.8078, 28.685133333333333, '2021-09-10 06:03:45'], [115.8078, 28.685133333333333, '2021-09-10 06:04:00'], [115.8078, 28.685133333333333, '2021-09-10 06:04:15'], [115.8078, 28.685133333333333, '2021-09-10 06:04:30'], [115.8078, 28.685133333333333, '2021-09-10 06:04:45'], [115.8078, 28.685133333333333, '2021-09-10 06:05:00'], [115.8078, 28.685133333333333, '2021-09-10 06:05:15'], [115.8078, 28.685133333333333, '2021-09-10 06:05:30'], [115.8078, 28.685133333333333, '2021-09-10 06:05:45'], [115.8078, 28.685133333333333, '2021-09-10 06:06:00'], [115.8078, 28.685133333333333, '2021-09-10 06:06:15'], [115.8078, 28.685133333333333, '2021-09-10 06:06:30'], [115.8078, 28.685133333333333, '2021-09-10 06:06:45'], [115.8078, 28.685133333333333, '2021-09-10 06:07:00'], [115.8078, 28.685133333333333, '2021-09-10 06:07:15'], [115.8078, 28.685133333333333, '2021-09-10 06:07:30'], [115.8078, 28.685133333333333, '2021-09-10 06:07:45'], [115.8078, 28.685133333333333, '2021-09-10 06:08:00'], [115.8078, 28.685133333333333, '2021-09-10 06:08:15'], [115.8078, 28.685133333333333, '2021-09-10 06:08:30'], [115.8078, 28.685133333333333, '2021-09-10 06:08:45'], [115.8078, 28.685133333333333, '2021-09-10 06:09:00'], [115.8078, 28.685133333333333, '2021-09-10 06:09:15'], [115.8078, 28.685133333333333, '2021-09-10 06:09:30'], [115.8078, 28.685133333333333, '2021-09-10 06:09:45'], [115.8078, 28.685133333333333, '2021-09-10 06:10:00'], [115.8078, 28.685133333333333, '2021-09-10 06:10:15'], [115.8078, 28.685133333333333, '2021-09-10 06:10:30'], [115.8078, 28.685133333333333, '2021-09-10 06:10:45'], [115.8078, 28.685133333333333, '2021-09-10 06:11:00'], [115.8078, 28.685133333333333, '2021-09-10 06:11:15'], [115.8078, 28.685133333333333, '2021-09-10 06:11:30'], [115.8078, 28.685133333333333, '2021-09-10 06:11:45'], [115.8078, 28.685133333333333, '2021-09-10 06:12:00'], [115.8078, 28.685133333333333, '2021-09-10 06:12:15'], [115.8078, 28.685133333333333, '2021-09-10 06:12:30'], [115.8078, 28.685133333333333, '2021-09-10 06:12:45'], [115.8078, 28.685133333333333, '2021-09-10 06:13:00'], [115.8078, 28.685133333333333, '2021-09-10 06:13:15'], [115.8078, 28.685133333333333, '2021-09-10 06:13:30'], [115.8078, 28.685133333333333, '2021-09-10 06:13:45'], [115.8078, 28.685133333333333, '2021-09-10 06:14:00'], [115.8078, 28.685133333333333, '2021-09-10 06:14:15'], [115.8078, 28.685133333333333, '2021-09-10 06:14:30'], [115.8078, 28.685133333333333, '2021-09-10 06:14:45'], [115.8078, 28.685133333333333, '2021-09-10 06:15:00'], [115.8078, 28.685133333333333, '2021-09-10 06:15:15'], [115.8078, 28.685133333333333, '2021-09-10 06:15:30'], [115.8078, 28.685133333333333, '2021-09-10 06:15:45'], [115.8078, 28.685133333333333, '2021-09-10 06:16:00'], [115.8078, 28.685133333333333, '2021-09-10 06:16:15'], [115.8078, 28.685133333333333, '2021-09-10 06:16:30'], [115.8078, 28.685133333333333, '2021-09-10 06:16:45'], [115.8078, 28.685133333333333, '2021-09-10 06:17:00'], [115.8078, 28.685133333333333, '2021-09-10 06:17:15'], [115.8078, 28.685133333333333, '2021-09-10 06:17:30'], [115.8078, 28.685133333333333, '2021-09-10 06:17:45'], [115.8078, 28.685133333333333, '2021-09-10 06:18:00'], [115.8078, 28.685133333333333, '2021-09-10 06:18:15'], [115.8078, 28.685133333333333, '2021-09-10 06:18:30'], [115.8078, 28.685133333333333, '2021-09-10 06:18:45'], [115.8078, 28.685133333333333, '2021-09-10 06:19:00'], [115.8078, 28.685133333333333, '2021-09-10 06:19:15'], [115.8078, 28.685133333333333, '2021-09-10 06:19:30'], [115.8078, 28.685133333333333, '2021-09-10 06:19:45'], [115.8078, 28.685133333333333, '2021-09-10 06:20:00'], [115.8078, 28.685133333333333, '2021-09-10 06:20:15'], [115.8078, 28.685133333333333, '2021-09-10 06:20:30'], [115.8078, 28.685133333333333, '2021-09-10 06:20:45'], [115.8078, 28.685133333333333, '2021-09-10 06:21:00'], [115.8078, 28.685133333333333, '2021-09-10 06:21:15'], [115.8078, 28.685133333333333, '2021-09-10 06:21:30'], [115.8078, 28.685133333333333, '2021-09-10 06:21:45'], [115.8078, 28.685133333333333, '2021-09-10 06:22:00'], [115.8078, 28.685133333333333, '2021-09-10 06:22:15'], [115.8078, 28.685133333333333, '2021-09-10 06:22:30'], [115.8078, 28.685133333333333, '2021-09-10 06:22:45'], [115.8078, 28.685133333333333, '2021-09-10 06:23:00'], [115.8078, 28.685133333333333, '2021-09-10 06:23:15'], [115.8078, 28.685133333333333, '2021-09-10 06:23:30'], [115.8078, 28.685133333333333, '2021-09-10 06:23:45'], [115.8078, 28.685133333333333, '2021-09-10 06:24:00'], [115.8078, 28.685133333333333, '2021-09-10 06:24:15'], [115.8078, 28.685133333333333, '2021-09-10 06:24:30'], [115.8078, 28.685133333333333, '2021-09-10 06:24:45'], [115.8078, 28.685133333333333, '2021-09-10 06:25:00'], [115.8078, 28.685133333333333, '2021-09-10 06:25:15'], [115.8078, 28.685133333333333, '2021-09-10 06:25:30'], [115.8078, 28.685133333333333, '2021-09-10 06:25:45'], [115.8078, 28.685133333333333, '2021-09-10 06:26:00'], [115.8078, 28.685133333333333, '2021-09-10 06:26:15'], [115.8078, 28.685133333333333, '2021-09-10 06:26:30'], [115.8078, 28.685133333333333, '2021-09-10 06:26:45'], [115.8078, 28.685133333333333, '2021-09-10 06:27:00'], [115.8078, 28.685133333333333, '2021-09-10 06:27:15'], [115.8078, 28.685133333333333, '2021-09-10 06:27:30'], [115.8078, 28.685133333333333, '2021-09-10 06:27:45'], [115.8078, 28.685133333333333, '2021-09-10 06:28:00'], [115.8078, 28.685133333333333, '2021-09-10 06:28:15'], [115.8078, 28.685133333333333, '2021-09-10 06:28:30'], [115.8078, 28.685133333333333, '2021-09-10 06:28:45'], [115.8078, 28.685133333333333, '2021-09-10 06:29:00'], [115.8078, 28.685133333333333, '2021-09-10 06:29:15'], [115.8078, 28.685133333333333, '2021-09-10 06:29:30'], [115.8078, 28.685133333333333, '2021-09-10 06:29:45'], [115.8078, 28.685133333333333, '2021-09-10 06:30:00'], [115.8078, 28.685133333333333, '2021-09-10 06:30:15'], [115.8078, 28.685133333333333, '2021-09-10 06:30:30'], [115.8078, 28.685133333333333, '2021-09-10 06:30:45'], [115.8078, 28.685133333333333, '2021-09-10 06:31:00'], [115.8078, 28.685133333333333, '2021-09-10 06:31:15'], [115.8078, 28.685133333333333, '2021-09-10 06:31:30'], [115.8078, 28.685133333333333, '2021-09-10 06:31:45'], [115.8078, 28.685133333333333, '2021-09-10 06:32:00'], [115.80778333333332, 28.684966666666668, '2021-09-10 06:32:15'], [115.80765, 28.684916666666663, '2021-09-10 06:32:30'], [115.8076, 28.68465, '2021-09-10 06:32:45'], [115.80791666666669, 28.684316666666668, '2021-09-10 06:33:00'], [115.80831666666668, 28.6837, '2021-09-10 06:33:15']]",2021-09-10 06:03:15,2021-09-10 06:33:15
