sectionId,carId,path,start_date_time,end_date_time
6134_up0,150910,"[[115.8289, 28.727633333333333, '2021-09-13 16:52:45'], [115.82768333333334, 28.726916666666668, '2021-09-13 16:53:00'], [115.82658333333332, 28.7263, '2021-09-13 16:53:15'], [115.82606666666666, 28.726, '2021-09-13 16:53:30']]",2021-09-13 16:52:45,2021-09-13 16:53:30
6134_up1,150910,"[[115.8259, 28.72588333333333, '2021-09-13 16:54:00'], [115.8259, 28.72588333333333, '2021-09-13 16:54:15'], [115.82541666666668, 28.725383333333333, '2021-09-13 16:54:30']]",2021-09-13 16:54:00,2021-09-13 16:54:30
6134_up2,150910,"[[115.82425, 28.7225, '2021-09-13 16:55:00'], [115.824, 28.721716666666666, '2021-09-13 16:55:15'], [115.824, 28.721716666666666, '2021-09-13 16:55:30'], [115.824, 28.721716666666666, '2021-09-13 16:55:45'], [115.824, 28.721716666666666, '2021-09-13 16:56:00'], [115.824, 28.721716666666666, '2021-09-13 16:56:15'], [115.82355, 28.72028333333333, '2021-09-13 16:56:30'], [115.82306666666666, 28.71875, '2021-09-13 16:56:45'], [115.8226, 28.717266666666667, '2021-09-13 16:57:00'], [115.82236666666668, 28.716483333333333, '2021-09-13 16:57:15'], [115.82205, 28.715516666666662, '2021-09-13 16:57:30']]",2021-09-13 16:55:00,2021-09-13 16:57:30
6134_up3,150910,"[[115.82141666666666, 28.713466666666665, '2021-09-13 16:58:00']]",2021-09-13 16:58:00,2021-09-13 16:58:00
6134_up4,150910,"[[115.82103333333332, 28.7123, '2021-09-13 16:58:30'], [115.82058333333332, 28.71128333333333, '2021-09-13 16:58:45'], [115.82051666666666, 28.711133333333333, '2021-09-13 16:59:00'], [115.8199, 28.71003333333333, '2021-09-13 16:59:15'], [115.81916666666666, 28.709066666666665, '2021-09-13 16:59:30']]",2021-09-13 16:58:30,2021-09-13 16:59:30
6134_up6,150910,"[[115.81846666666668, 28.707933333333333, '2021-09-13 17:00:15'], [115.81846666666668, 28.707933333333333, '2021-09-13 17:00:30'], [115.81846666666668, 28.707933333333333, '2021-09-13 17:00:45'], [115.81846666666668, 28.707933333333333, '2021-09-13 17:01:00'], [115.81803333333332, 28.70703333333333, '2021-09-13 17:01:15'], [115.81775, 28.70565, '2021-09-13 17:01:30'], [115.81775, 28.70565, '2021-09-13 17:01:45'], [115.81775, 28.70565, '2021-09-13 17:02:00'], [115.81781666666669, 28.704666666666668, '2021-09-13 17:02:15'], [115.8178, 28.704316666666667, '2021-09-13 17:02:30'], [115.81783333333334, 28.70378333333333, '2021-09-13 17:02:45']]",2021-09-13 17:00:15,2021-09-13 17:02:45
6134_up7,150910,"[[115.81785, 28.700816666666668, '2021-09-13 17:03:45'], [115.81775, 28.70025, '2021-09-13 17:04:00'], [115.81688333333334, 28.70005, '2021-09-13 17:04:15'], [115.81628333333332, 28.700033333333334, '2021-09-13 17:04:30'], [115.81505, 28.69998333333333, '2021-09-13 17:04:45'], [115.81405, 28.69995, '2021-09-13 17:05:00']]",2021-09-13 17:03:45,2021-09-13 17:05:00
6134_up8,150910,"[[115.81241666666666, 28.69996666666667, '2021-09-13 17:05:30'], [115.81241666666666, 28.69996666666667, '2021-09-13 17:05:45'], [115.81241666666666, 28.69996666666667, '2021-09-13 17:06:00'], [115.81241666666666, 28.69996666666667, '2021-09-13 17:06:15'], [115.81241666666666, 28.69996666666667, '2021-09-13 17:06:30'], [115.81101666666666, 28.699916666666667, '2021-09-13 17:06:45'], [115.81003333333334, 28.69985, '2021-09-13 17:07:00'], [115.80903333333332, 28.699766666666665, '2021-09-13 17:07:15']]",2021-09-13 17:05:30,2021-09-13 17:07:15
6134_up9,150910,"[[115.80578333333334, 28.6995, '2021-09-13 17:08:45'], [115.80578333333334, 28.6995, '2021-09-13 17:09:00'], [115.80578333333334, 28.6995, '2021-09-13 17:09:15'], [115.80578333333334, 28.6995, '2021-09-13 17:09:30'], [115.80463333333331, 28.69945, '2021-09-13 17:09:45'], [115.80321666666669, 28.699383333333333, '2021-09-13 17:10:00'], [115.80231666666668, 28.6993, '2021-09-13 17:10:15']]",2021-09-13 17:08:45,2021-09-13 17:10:15
6134_up11,150910,"[[115.80278333333334, 28.69603333333333, '2021-09-13 17:12:00'], [115.80298333333332, 28.69575, '2021-09-13 17:12:15'], [115.803, 28.695733333333333, '2021-09-13 17:12:30'], [115.803, 28.695733333333333, '2021-09-13 17:12:45'], [115.8036, 28.694566666666667, '2021-09-13 17:13:00']]",2021-09-13 17:12:00,2021-09-13 17:13:00
6134_up12,150910,"[[115.80428333333332, 28.69308333333333, '2021-09-13 17:13:30'], [115.80451666666669, 28.6923, '2021-09-13 17:13:45'], [115.80475, 28.691516666666665, '2021-09-13 17:14:00'], [115.80505, 28.69045, '2021-09-13 17:14:15']]",2021-09-13 17:13:30,2021-09-13 17:14:15
6134_up13,150910,"[[115.80515, 28.6901, '2021-09-13 17:14:45'], [115.80515, 28.6901, '2021-09-13 17:15:00'], [115.80515, 28.6901, '2021-09-13 17:15:15'], [115.80515, 28.6901, '2021-09-13 17:15:30'], [115.80515, 28.6901, '2021-09-13 17:15:45'], [115.80515, 28.6901, '2021-09-13 17:16:00'], [115.80515, 28.6901, '2021-09-13 17:16:15'], [115.8053, 28.689516666666663, '2021-09-13 17:16:30']]",2021-09-13 17:14:45,2021-09-13 17:16:30
6134_up14,150910,"[[115.806, 28.687283333333333, '2021-09-13 17:17:00'], [115.80631666666666, 28.6862, '2021-09-13 17:17:15']]",2021-09-13 17:17:00,2021-09-13 17:17:15
6134_up16,150910,"[[115.80833333333334, 28.683966666666667, '2021-09-13 17:19:45'], [115.80891666666666, 28.68388333333333, '2021-09-13 17:20:00'], [115.80996666666668, 28.684066666666663, '2021-09-13 17:20:15']]",2021-09-13 17:19:45,2021-09-13 17:20:15
