sectionId,carId,path,start_date_time,end_date_time
730_down0,150317,"[[115.996, 28.29905, '2021-09-11 06:29:45'], [115.99595, 28.2991, '2021-09-11 06:30:00'], [115.99583333333334, 28.299233333333333, '2021-09-11 06:30:15'], [115.99583333333334, 28.299233333333333, '2021-09-11 06:30:30'], [115.99583333333334, 28.299233333333333, '2021-09-11 06:30:45'], [115.99583333333334, 28.299233333333333, '2021-09-11 06:31:00'], [115.99583333333334, 28.299233333333333, '2021-09-11 06:31:15'], [115.99583333333334, 28.299233333333333, '2021-09-11 06:31:30'], [115.99583333333334, 28.299233333333333, '2021-09-11 06:31:45'], [115.99583333333334, 28.299233333333333, '2021-09-11 06:32:00'], [115.99583333333334, 28.299233333333333, '2021-09-11 06:32:15'], [115.99583333333334, 28.299233333333333, '2021-09-11 06:32:30'], [115.99583333333334, 28.299233333333333, '2021-09-11 06:32:45'], [115.99583333333334, 28.299233333333333, '2021-09-11 06:33:00'], [115.99583333333334, 28.299233333333333, '2021-09-11 06:33:15'], [115.99583333333334, 28.299233333333333, '2021-09-11 06:33:30'], [115.99583333333334, 28.299233333333333, '2021-09-11 06:33:45'], [115.99583333333334, 28.299233333333333, '2021-09-11 06:34:00'], [115.99583333333334, 28.299233333333333, '2021-09-11 06:34:15'], [115.99583333333334, 28.299233333333333, '2021-09-11 06:34:30'], [115.99585, 28.299233333333333, '2021-09-11 06:34:45'], [115.99585, 28.299233333333333, '2021-09-11 06:35:00'], [115.99585, 28.299233333333333, '2021-09-11 06:35:15'], [115.99585, 28.299233333333333, '2021-09-11 06:35:30'], [115.99585, 28.299233333333333, '2021-09-11 06:35:45'], [115.99585, 28.299233333333333, '2021-09-11 06:36:00'], [115.99585, 28.299233333333333, '2021-09-11 06:36:15'], [115.99585, 28.299233333333333, '2021-09-11 06:36:30'], [115.99585, 28.299233333333333, '2021-09-11 06:36:45'], [115.99583333333334, 28.299216666666663, '2021-09-11 06:37:00'], [115.99583333333334, 28.299216666666663, '2021-09-11 06:37:15'], [115.99583333333334, 28.299216666666663, '2021-09-11 06:37:30'], [115.99583333333334, 28.299216666666663, '2021-09-11 06:37:45'], [115.99583333333334, 28.299216666666663, '2021-09-11 06:38:00'], [115.99583333333334, 28.299216666666663, '2021-09-11 06:38:15'], [115.99583333333334, 28.299216666666663, '2021-09-11 06:38:30'], [115.99583333333334, 28.299216666666663, '2021-09-11 06:38:45'], [115.99583333333334, 28.299216666666663, '2021-09-11 06:39:00'], [115.99583333333334, 28.299216666666663, '2021-09-11 06:39:15'], [115.99583333333334, 28.299216666666663, '2021-09-11 06:39:30'], [115.99583333333334, 28.299216666666663, '2021-09-11 06:39:45'], [115.99583333333334, 28.299216666666663, '2021-09-11 06:40:00'], [115.99583333333334, 28.299216666666663, '2021-09-11 06:40:15'], [115.99583333333334, 28.299216666666663, '2021-09-11 06:40:30'], [115.99583333333334, 28.299216666666663, '2021-09-11 06:40:45'], [115.99583333333334, 28.299216666666663, '2021-09-11 06:41:00']]",2021-09-11 06:29:45,2021-09-11 06:41:00
730_down1,150317,"[[115.9944, 28.30023333333333, '2021-09-11 06:41:30'], [115.99355, 28.30075, '2021-09-11 06:41:45'], [115.99258333333331, 28.30135, '2021-09-11 06:42:00'], [115.99165, 28.302116666666667, '2021-09-11 06:42:15'], [115.99098333333332, 28.30273333333333, '2021-09-11 06:42:30']]",2021-09-11 06:41:30,2021-09-11 06:42:30
730_down2,150317,"[[115.99098333333332, 28.30273333333333, '2021-09-11 06:43:00'], [115.99098333333332, 28.30273333333333, '2021-09-11 06:43:15'], [115.98998333333331, 28.30363333333333, '2021-09-11 06:43:30'], [115.98865, 28.30625, '2021-09-11 06:43:45'], [115.98865, 28.30625, '2021-09-11 06:44:00'], [115.98781666666666, 28.307583333333334, '2021-09-11 06:44:15'], [115.9868, 28.30888333333333, '2021-09-11 06:44:30'], [115.98555, 28.310016666666662, '2021-09-11 06:44:45'], [115.98411666666668, 28.311066666666665, '2021-09-11 06:45:00'], [115.9827, 28.312116666666668, '2021-09-11 06:45:15'], [115.98135, 28.3131, '2021-09-11 06:45:30'], [115.97973333333331, 28.313966666666666, '2021-09-11 06:45:45'], [115.9765, 28.31543333333333, '2021-09-11 06:46:00'], [115.9765, 28.31543333333333, '2021-09-11 06:46:15'], [115.97495, 28.316216666666666, '2021-09-11 06:46:30'], [115.97415, 28.317466666666668, '2021-09-11 06:46:45'], [115.97321666666669, 28.3189, '2021-09-11 06:47:00'], [115.97323333333334, 28.32043333333333, '2021-09-11 06:47:15'], [115.97325, 28.32185, '2021-09-11 06:47:30']]",2021-09-11 06:43:00,2021-09-11 06:47:30
730_down3,150317,"[[115.97151666666667, 28.326216666666667, '2021-09-11 06:48:00'], [115.97036666666666, 28.327383333333334, '2021-09-11 06:48:15'], [115.96905, 28.3285, '2021-09-11 06:48:30'], [115.96801666666668, 28.329666666666668, '2021-09-11 06:48:45'], [115.96686666666666, 28.331, '2021-09-11 06:49:00'], [115.96575, 28.332283333333333, '2021-09-11 06:49:15'], [115.96465, 28.33355, '2021-09-11 06:49:30']]",2021-09-11 06:48:00,2021-09-11 06:49:30
730_down4,150317,"[[115.96243333333334, 28.33608333333333, '2021-09-11 06:50:00'], [115.9613, 28.33735, '2021-09-11 06:50:15'], [115.96028333333334, 28.33843333333333, '2021-09-11 06:50:30'], [115.95911666666667, 28.33963333333333, '2021-09-11 06:50:45'], [115.95786666666666, 28.34065, '2021-09-11 06:51:00']]",2021-09-11 06:50:00,2021-09-11 06:51:00
730_down5,150317,"[[115.95511666666668, 28.34243333333333, '2021-09-11 06:51:30'], [115.95366666666666, 28.343333333333334, '2021-09-11 06:51:45'], [115.95243333333332, 28.34425, '2021-09-11 06:52:00'], [115.95085, 28.34538333333333, '2021-09-11 06:52:15'], [115.9503, 28.34573333333333, '2021-09-11 06:52:30'], [115.94983333333332, 28.345983333333333, '2021-09-11 06:52:45'], [115.94878333333334, 28.34658333333333, '2021-09-11 06:53:00'], [115.94731666666668, 28.34743333333333, '2021-09-11 06:53:15'], [115.94573333333334, 28.34805, '2021-09-11 06:53:30'], [115.9442, 28.348866666666662, '2021-09-11 06:53:45'], [115.94283333333334, 28.34935, '2021-09-11 06:54:00'], [115.94123333333332, 28.349733333333333, '2021-09-11 06:54:15'], [115.93951666666666, 28.350166666666667, '2021-09-11 06:54:30'], [115.93596666666669, 28.35098333333333, '2021-09-11 06:54:45']]",2021-09-11 06:51:30,2021-09-11 06:54:45
730_down6,150317,"[[115.93266666666666, 28.351766666666663, '2021-09-11 06:55:15'], [115.9315, 28.35171666666667, '2021-09-11 06:55:30'], [115.9305, 28.352216666666667, '2021-09-11 06:55:45'], [115.92933333333332, 28.353283333333334, '2021-09-11 06:56:00'], [115.92821666666669, 28.3546, '2021-09-11 06:56:15'], [115.92713333333332, 28.35588333333333, '2021-09-11 06:56:30'], [115.92628333333332, 28.356916666666667, '2021-09-11 06:56:45'], [115.92561666666668, 28.35781666666667, '2021-09-11 06:57:00'], [115.92463333333332, 28.358416666666667, '2021-09-11 06:57:15'], [115.92316666666666, 28.359166666666667, '2021-09-11 06:57:30'], [115.92173333333334, 28.3599, '2021-09-11 06:57:45'], [115.9203, 28.36068333333333, '2021-09-11 06:58:00'], [115.91885, 28.36143333333333, '2021-09-11 06:58:15'], [115.91786666666668, 28.36198333333333, '2021-09-11 06:58:30'], [115.91786666666668, 28.36198333333333, '2021-09-11 06:58:45'], [115.9173, 28.362266666666667, '2021-09-11 06:59:00'], [115.91608333333332, 28.362916666666667, '2021-09-11 06:59:15'], [115.91451666666669, 28.363716666666665, '2021-09-11 06:59:30'], [115.91323333333334, 28.364383333333333, '2021-09-11 06:59:45'], [115.91171666666666, 28.36518333333333, '2021-09-11 07:00:00'], [115.91046666666666, 28.36583333333333, '2021-09-11 07:00:15']]",2021-09-11 06:55:15,2021-09-11 07:00:15
730_down7,150317,"[[115.90888333333334, 28.3667, '2021-09-11 07:00:45'], [115.90898333333334, 28.367516666666667, '2021-09-11 07:01:00']]",2021-09-11 07:00:45,2021-09-11 07:01:00
730_down8,150317,"[[115.90918333333332, 28.368016666666666, '2021-09-11 07:01:30'], [115.90918333333332, 28.368016666666666, '2021-09-11 07:01:45'], [115.9093, 28.36841666666667, '2021-09-11 07:02:00'], [115.90966666666668, 28.369633333333333, '2021-09-11 07:02:15'], [115.9101, 28.370966666666668, '2021-09-11 07:02:30'], [115.9105, 28.372366666666668, '2021-09-11 07:02:45'], [115.91096666666668, 28.37378333333333, '2021-09-11 07:03:00']]",2021-09-11 07:01:30,2021-09-11 07:03:00
730_down9,150317,"[[115.91386666666666, 28.3816, '2021-09-11 07:04:00'], [115.91445, 28.38315, '2021-09-11 07:04:15'], [115.91511666666666, 28.384966666666667, '2021-09-11 07:04:30'], [115.91578333333334, 28.38675, '2021-09-11 07:04:45']]",2021-09-11 07:04:00,2021-09-11 07:04:45
